Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-02-07 14:30:01,1033,382,526,350,338
2026-02-07 15:00:01,1025,382,533,353,340
2026-02-07 15:30:01,1040,382,533,347,338
2026-02-07 16:00:02,1032,383,533,349,336
2026-02-07 16:30:01,1026,384,534,349,338
2026-02-07 17:00:01,1037,382,523,348,337
2026-02-07 17:30:01,1035,383,527,348,339
2026-02-07 18:00:01,1043,383,526,352,339
2026-02-07 18:30:01,1032,384,526,347,337
2026-02-07 19:00:01,1051,382,524,349,339
2026-02-07 19:30:01,1034,380,525,351,340
2026-02-07 20:00:01,1050,381,528,350,336
2026-02-07 20:30:01,1043,383,527,350,338
2026-02-07 21:00:01,1042,383,526,349,339
2026-02-07 21:30:01,1042,379,524,348,336
2026-02-07 22:00:01,1028,383,523,348,338
2026-02-07 22:30:01,1037,378,526,351,339
2026-02-07 23:00:01,1025,385,524,350,339
2026-02-07 23:30:01,1033,382,525,347,348
2026-02-08 00:00:01,1018,384,525,350,338
2026-02-08 00:30:01,1041,385,527,348,338
2026-02-08 01:00:01,1049,384,524,349,339
2026-02-08 01:30:01,1046,385,526,352,341
2026-02-08 02:00:01,1046,384,524,348,340
2026-02-08 02:30:01,1051,384,526,351,338
2026-02-08 03:00:01,1046,381,526,349,338
2026-02-08 03:30:01,1041,385,525,346,337
2026-02-08 04:00:01,1042,382,524,349,340
2026-02-08 04:30:01,1042,382,527,347,339
2026-02-08 05:00:01,1058,382,527,348,340
2026-02-08 05:30:01,1059,382,528,351,338
2026-02-08 06:00:01,1053,383,527,348,339
2026-02-08 06:30:01,1046,385,528,350,339
2026-02-08 07:00:01,1042,381,525,350,338
2026-02-08 07:30:01,1045,385,526,350,339
2026-02-08 08:00:01,1057,384,527,351,343
2026-02-08 08:30:01,1039,381,525,350,337
2026-02-08 09:00:01,1027,383,526,351,340
2026-02-08 09:30:01,1042,385,526,348,341
2026-02-08 10:00:01,1037,384,529,351,339
2026-02-08 10:30:01,1059,383,525,349,339
2026-02-08 11:00:01,1059,384,526,349,341
2026-02-08 11:30:01,1057,383,527,349,340
2026-02-08 12:00:01,1057,383,527,351,340
2026-02-08 12:30:01,1042,382,525,349,340
2026-02-08 13:00:01,1039,384,526,350,340
2026-02-08 13:30:02,1044,382,526,348,340
2026-02-08 14:00:01,1048,386,524,352,338
2026-02-08 14:30:01,1031,384,526,352,342
2026-02-08 15:00:01,1041,385,525,351,346
2026-02-08 15:30:01,1044,385,526,349,340
2026-02-08 16:00:01,1053,385,525,351,339
2026-02-08 16:30:01,1040,382,526,350,339
2026-02-08 17:00:01,1040,384,527,350,344
2026-02-08 17:30:01,1046,381,526,360,340
2026-02-08 18:00:01,1051,384,526,348,340
2026-02-08 18:30:01,1036,383,527,348,340
2026-02-08 19:00:01,1045,381,527,349,340
2026-02-08 19:30:01,1036,383,528,351,339
2026-02-08 20:00:01,1025,383,525,349,340
2026-02-08 20:30:01,1040,383,525,349,340
2026-02-08 21:00:02,1042,384,525,350,341
2026-02-08 21:30:01,1034,385,525,349,339
2026-02-08 22:00:01,1033,385,527,351,339
2026-02-08 22:30:01,1040,383,542,350,341
2026-02-08 23:00:01,1027,382,535,350,338
2026-02-08 23:30:01,1034,383,535,347,339
2026-02-09 00:00:01,1027,387,536,355,340
2026-02-09 00:30:01,1043,386,527,351,341
2026-02-09 01:00:01,1029,384,528,353,341
2026-02-09 01:30:01,1026,384,528,348,339
2026-02-09 02:00:01,1042,384,527,352,341
2026-02-09 02:30:01,1026,383,528,350,339
2026-02-09 03:00:01,1032,385,530,349,340
2026-02-09 03:30:01,1046,385,528,349,340
2026-02-09 04:00:01,1041,384,526,350,339
2026-02-09 04:30:01,1044,384,528,350,339
2026-02-09 05:00:01,1024,383,527,350,339
2026-02-09 05:30:01,1033,386,526,349,339
2026-02-09 06:00:01,1024,386,528,350,343
2026-02-09 06:30:01,1020,386,527,350,339
2026-02-09 07:00:01,1020,387,529,349,340
2026-02-09 07:30:01,1029,385,528,351,340
2026-02-09 08:00:01,1027,384,529,348,340
2026-02-09 08:30:01,1009,384,527,351,339
2026-02-09 09:00:01,1015,384,529,355,341
2026-02-09 09:30:01,1042,384,525,354,340
2026-02-09 10:00:01,1043,387,528,350,338
2026-02-09 10:30:01,1041,388,528,353,340
2026-02-09 11:00:01,1017,384,527,351,339
2026-02-09 11:30:01,1023,383,530,351,343
2026-02-09 12:00:01,1025,386,527,353,339
2026-02-09 12:30:02,1038,383,526,353,338
2026-02-09 13:00:01,1029,385,529,351,340
2026-02-09 13:30:01,1043,387,527,353,341
2026-02-09 14:00:01,1038,386,528,351,341
2026-02-09 14:30:01,1032,383,526,350,340
2026-02-09 15:00:01,1039,384,526,350,342
2026-02-09 15:30:01,1044,386,529,350,342
2026-02-09 16:00:01,1039,386,529,350,342
2026-02-09 16:30:01,1035,383,526,351,340
2026-02-09 17:00:01,1038,385,529,350,342
2026-02-09 17:30:01,1034,385,528,349,342
2026-02-09 18:00:01,1035,383,529,352,342
2026-02-09 18:30:01,1037,385,526,348,344
2026-02-09 19:00:01,1054,387,528,350,339
2026-02-09 19:30:01,1041,385,529,351,339
2026-02-09 20:00:01,1032,384,528,353,340
2026-02-09 20:30:01,1037,385,527,351,341
2026-02-09 21:00:01,1018,385,526,350,343
2026-02-09 21:30:01,1055,385,528,350,345
2026-02-09 22:00:01,1036,386,529,350,340
2026-02-09 22:30:01,1028,387,526,352,340
2026-02-09 23:00:01,1046,387,528,353,341
2026-02-09 23:30:01,1034,384,526,350,341
2026-02-10 00:00:01,1045,384,526,355,341
2026-02-10 00:30:01,1030,385,526,349,342
2026-02-10 01:00:01,1034,388,529,349,341
2026-02-10 01:30:02,1030,384,530,349,345
2026-02-10 02:00:01,1028,383,529,351,340
2026-02-10 02:30:01,1044,386,528,351,342
2026-02-10 03:00:01,1029,387,529,351,340
2026-02-10 03:30:01,1035,386,528,352,340
2026-02-10 04:00:01,1025,387,528,351,342
2026-02-10 04:30:01,1033,385,528,350,342
2026-02-10 05:00:01,1032,385,528,351,343
2026-02-10 05:30:01,1043,385,529,354,344
2026-02-10 06:00:01,1045,385,527,351,343
2026-02-10 06:30:01,1044,382,526,351,342
2026-02-10 07:00:01,1045,388,537,351,342
2026-02-10 07:30:01,1040,387,538,351,340
2026-02-10 08:00:01,1032,386,535,350,341
2026-02-10 08:30:01,1034,385,546,352,338
2026-02-10 09:00:01,1039,384,529,353,341
2026-02-10 09:30:02,1038,383,529,352,341
2026-02-10 10:00:01,1046,386,530,350,342
2026-02-10 10:30:01,1036,386,528,352,342
2026-02-10 11:00:01,1038,387,530,351,343
2026-02-10 11:30:01,1039,385,529,352,342
2026-02-10 12:00:01,1041,386,532,349,340
2026-02-10 12:30:01,1048,383,530,352,338
2026-02-10 13:00:01,1046,385,530,351,341
2026-02-10 13:30:01,1034,384,531,351,342
2026-02-10 14:00:01,1034,385,529,354,340
2026-02-10 14:30:01,1039,385,528,349,343
2026-02-10 15:00:01,1035,386,530,352,339
2026-02-10 15:30:01,1043,386,529,362,341
2026-02-10 16:00:01,1032,384,527,349,339
2026-02-10 16:30:01,1035,384,529,352,341
2026-02-10 17:00:01,1047,387,529,351,341
2026-02-10 17:30:01,1048,386,529,355,344
2026-02-10 18:00:02,1039,385,530,353,344
2026-02-10 18:30:01,1042,390,528,353,344
2026-02-10 19:00:02,1048,386,529,352,341
2026-02-10 19:30:01,1044,386,532,353,342
2026-02-10 20:00:01,1035,386,531,350,343
2026-02-10 20:30:01,1035,384,530,351,342
2026-02-10 21:00:01,1045,387,531,353,342
2026-02-10 21:30:01,1047,384,529,353,344
2026-02-10 22:00:01,1046,387,527,353,342
2026-02-10 22:30:01,1031,387,527,350,342
2026-02-10 23:00:01,1045,384,526,349,345
2026-02-10 23:30:01,1045,387,529,353,342
2026-02-11 00:00:01,1044,384,530,351,341
2026-02-11 00:30:01,1014,390,529,352,340
2026-02-11 01:00:01,1034,383,529,351,340
2026-02-11 01:30:01,1046,387,528,352,343
2026-02-11 02:00:01,1022,385,530,353,343
2026-02-11 02:30:01,1043,382,529,350,341
2026-02-11 03:00:01,1039,382,528,353,340
2026-02-11 03:30:01,1049,383,532,351,342
2026-02-11 04:00:01,1055,383,528,350,343
2026-02-11 04:30:01,1051,384,530,350,339
2026-02-11 05:00:01,1053,384,531,350,339
2026-02-11 05:30:01,1037,381,529,354,336
2026-02-11 06:00:01,1037,382,529,353,339
2026-02-11 06:30:01,1047,382,526,349,339
2026-02-11 07:00:01,1049,384,528,347,338
2026-02-11 07:30:01,1040,382,532,347,339
2026-02-11 10:00:01,906,292,327,273,262
2026-02-11 10:30:01,924,297,329,277,266
2026-02-11 11:00:01,934,300,329,281,267
2026-02-11 11:30:01,904,298,329,276,265
2026-02-11 12:00:01,930,298,333,275,267
