Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-02-09 05:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 05:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 06:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 06:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 07:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 07:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 08:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 08:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 09:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 09:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 10:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 10:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 11:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 11:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 12:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 12:30:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 13:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 13:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 14:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 14:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 15:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 15:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 16:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 16:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 17:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 17:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 18:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 18:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 19:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 19:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 20:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 20:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 21:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 21:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 22:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 22:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 23:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-09 23:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 00:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 00:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 01:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 01:30:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 02:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 02:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 03:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 03:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 04:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 04:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 05:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 05:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 06:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 06:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 07:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 07:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 08:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 08:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 09:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 09:30:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 10:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 10:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 11:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 11:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 12:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 12:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 13:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 13:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 14:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 14:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 15:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 15:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 16:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 16:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 17:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 17:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 18:00:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 18:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 19:00:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 19:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 20:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 20:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 21:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 21:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 22:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 22:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 23:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-10 23:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 00:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-11 00:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
